ID,createdAt,createdBy,modifiedAt,modifiedBy,requisitionNumber,requester_ID,plant_ID,requestDate,requiredDate,status,priority,justification,estimatedValue,currency_code
d5e33776-01b9-51b2-836b-74c48963adc5,2025-10-19T08:00:00Z,system,2025-10-19T08:00:00Z,system,PR0000000018,cbe963d2-a4e6-5ec1-a15f-948ff5630895,efd8a8e4-0bb8-5f9e-be95-16451417acb0,2025-10-19,2025-11-02,APPROVED,NORMAL,Safety stock replenishment,296062.34,EUR
afaa896a-b227-55d3-a012-212610b415a2,2025-09-23T08:00:00Z,system,2025-09-23T08:00:00Z,system,PR0000000019,40fc93b9-abcc-5006-b3bc-584cd180694b,261d0783-3954-5ee6-baf2-f9e37bbb725b,2025-09-23,2025-11-27,APPROVED,NORMAL,Safety stock replenishment,32221.00,EUR
05360950-f3c5-5799-92ce-45143360a527,2025-11-23T08:00:00Z,system,2025-11-23T08:00:00Z,system,PR0000000020,9566bb19-9176-52c9-8eea-1c1f82d4a01b,cb89079f-b137-594d-b7f6-f3803900b013,2025-11-23,2025-12-10,APPROVED,URGENT,Safety stock replenishment,296945.74,EUR
f71fe089-5575-5924-82bc-9fff41b316f5,2025-11-17T08:00:00Z,system,2025-11-17T08:00:00Z,system,PR0000000021,4128af86-84d7-5c7a-bebf-50be57e6c1a0,e294ac9d-bd77-5078-ba31-f74bebb60488,2025-11-17,2026-01-17,COMPLETED,HIGH,New project demand,140592.65,EUR
d8b11df0-44cc-5e7c-a7b1-dc4d52ee7b0e,2025-11-22T08:00:00Z,system,2025-11-22T08:00:00Z,system,PR0000000022,f911dfb3-26ad-5d1f-b884-074c195d7b36,78e17b4f-64d9-5a1f-8e02-e8a798b67ff0,2025-11-22,2025-12-04,APPROVED,NORMAL,Production material replenishment,75396.83,EUR
43adc0d9-b904-552f-b2b8-86212e60623b,2026-04-29T08:00:00Z,system,2026-04-29T08:00:00Z,system,PR0000000023,e5f6eca5-efd9-5b50-b3e2-8885e65c411d,329ee744-d62e-5fc4-a06d-cd6019444aa8,2026-04-29,2026-06-17,APPROVED,NORMAL,Safety stock replenishment,4219.06,EUR
bfbd50e4-020c-5b56-898e-a32f4d699f74,2025-12-05T08:00:00Z,system,2025-12-05T08:00:00Z,system,PR0000000024,24356e6d-8de5-5316-88e3-702cdfd23228,113d871c-fdd0-59b0-922b-71a1f17a7a5b,2025-12-05,2026-02-05,COMPLETED,URGENT,Safety stock replenishment,33678.06,EUR
1cf886ef-a661-5c7c-b2ca-0d2e16e1cfef,2025-10-28T08:00:00Z,system,2025-10-28T08:00:00Z,system,PR0000000025,a573cf3b-6545-5ee9-8ae0-2ff7e9370a69,26221d5e-2e66-5ea9-8c4d-30720ed59583,2025-10-28,2025-12-11,APPROVED,NORMAL,Safety stock replenishment,267.50,EUR
4b56e24e-4577-5a04-957f-51078897d48b,2026-07-17T08:00:00Z,system,2026-07-17T08:00:00Z,system,PR0000000026,f911dfb3-26ad-5d1f-b884-074c195d7b36,87cb6569-bd40-5e24-8586-da21fbea3a81,2026-07-17,2026-09-10,CANCELLED,HIGH,Production material replenishment,246818.20,EUR
e6a44efc-360e-5330-b8dd-3ba494e970c2,2026-02-23T08:00:00Z,system,2026-02-23T08:00:00Z,system,PR0000000027,95f6a497-057c-520f-982f-8724d95bc2f7,113d871c-fdd0-59b0-922b-71a1f17a7a5b,2026-02-23,2026-03-20,DRAFT,NORMAL,Scheduled maintenance requirement,8892.00,EUR
9a11d2d2-5236-5fe1-bacc-5bf2d7e428e3,2025-11-01T08:00:00Z,system,2025-11-01T08:00:00Z,system,PR0000000028,d14b0728-f72c-5fc0-a4ba-8ff48ceaa3cc,78e17b4f-64d9-5a1f-8e02-e8a798b67ff0,2025-11-01,2025-12-13,REJECTED,NORMAL,Warehouse stock below reorder point,584224.00,EUR
5655c22f-23e9-5d17-9c08-7743346b8fe0,2025-10-20T08:00:00Z,system,2025-10-20T08:00:00Z,system,PR0000000029,a573cf3b-6545-5ee9-8ae0-2ff7e9370a69,efd8a8e4-0bb8-5f9e-be95-16451417acb0,2025-10-20,2025-11-13,COMPLETED,NORMAL,Production material replenishment,19.90,EUR
158d1c75-a70c-5778-9e40-75c9735df12f,2025-11-01T08:00:00Z,system,2025-11-01T08:00:00Z,system,PR0000000030,aa73552f-c4e3-50c0-ab42-ae08fe8628fc,efd8a8e4-0bb8-5f9e-be95-16451417acb0,2025-11-01,2025-12-07,ORDERED,NORMAL,Warehouse stock below reorder point,119655.75,EUR
f7139cc6-9c3e-55f1-8280-f9be554173de,2026-02-11T08:00:00Z,system,2026-02-11T08:00:00Z,system,PR0000000031,40fc93b9-abcc-5006-b3bc-584cd180694b,0450cf2b-52b5-5c7a-95b0-bbdc67bca724,2026-02-11,2026-04-16,CANCELLED,HIGH,Replacement of worn equipment,62685.22,EUR
47214511-e7c0-5aab-a696-97b2050d5c4a,2025-10-31T08:00:00Z,system,2025-10-31T08:00:00Z,system,PR0000000032,8e723945-6a6c-5803-a42e-c1347adfc586,e6d386f5-8b03-578e-aca0-68c8e68a10d1,2025-10-31,2025-11-13,APPROVED,URGENT,New project demand,27787.30,EUR
757d980a-2a66-5f67-92b7-14af8a257575,2026-01-06T08:00:00Z,system,2026-01-06T08:00:00Z,system,PR0000000033,88db520f-00d6-51aa-8b62-c7a88dd50f4c,5b8df29c-4f7d-5b45-b24c-0b5a197ae2b0,2026-01-06,2026-02-15,COMPLETED,NORMAL,Scheduled maintenance requirement,11498.90,EUR
7b583952-0472-57a4-a63d-1b68c0de77d6,2025-10-15T08:00:00Z,system,2025-10-15T08:00:00Z,system,PR0000000034,cbe963d2-a4e6-5ec1-a15f-948ff5630895,efd8a8e4-0bb8-5f9e-be95-16451417acb0,2025-10-15,2025-12-28,COMPLETED,NORMAL,Production material replenishment,126029.81,EUR
7fb1bf3d-9773-59c4-a01a-2bf0472cace4,2026-02-16T08:00:00Z,system,2026-02-16T08:00:00Z,system,PR0000000035,b0f0219c-497a-5b5a-8247-64bb9744b592,9f6bd345-59f3-56b7-b1b4-8a3e5fab6656,2026-02-16,2026-03-20,COMPLETED,HIGH,Production material replenishment,163006.75,EUR
a7ae085a-149d-5aff-a644-a90f493e52d0,2025-09-30T08:00:00Z,system,2025-09-30T08:00:00Z,system,PR0000000036,43022d67-1e7e-5424-9987-98f2d73d0810,03aef187-5272-56c7-bfc4-cf8b61ecf06b,2025-09-30,2025-12-03,CANCELLED,NORMAL,Safety stock replenishment,336069.00,EUR
6948d085-f152-56a2-bf02-a13b95583a90,2026-02-15T08:00:00Z,system,2026-02-15T08:00:00Z,system,PR0000000037,d778b989-a675-5d3f-8009-55dfeceec6f9,5b8df29c-4f7d-5b45-b24c-0b5a197ae2b0,2026-02-15,2026-04-29,DRAFT,HIGH,Scheduled maintenance requirement,123214.10,EUR
c4c8e8a4-d4aa-57bc-be9d-04ee4cab2414,2026-06-03T08:00:00Z,system,2026-06-03T08:00:00Z,system,PR0000000038,a573cf3b-6545-5ee9-8ae0-2ff7e9370a69,3e8df789-1fad-5f45-9e4e-ae08a2240191,2026-06-03,2026-06-29,ORDERED,NORMAL,New project demand,24345.80,EUR
8646b5ed-6011-5cbc-8adf-e03a3d4e3345,2026-07-20T08:00:00Z,system,2026-07-20T08:00:00Z,system,PR0000000039,113128ae-1f79-5f39-8c07-f3d07a663bae,5b8df29c-4f7d-5b45-b24c-0b5a197ae2b0,2026-07-20,2026-08-22,ORDERED,NORMAL,Scheduled maintenance requirement,3643.50,EUR
858a6259-7228-5b7e-b7c1-eb083a2423ee,2025-09-05T08:00:00Z,system,2025-09-05T08:00:00Z,system,PR0000000040,bf33aee2-e9ef-5847-9fa5-474024f30610,5b8df29c-4f7d-5b45-b24c-0b5a197ae2b0,2025-09-05,2025-10-16,ORDERED,NORMAL,Warehouse stock below reorder point,151536.00,EUR
60797153-19e8-50fc-9058-7890bdf66b41,2026-04-05T08:00:00Z,system,2026-04-05T08:00:00Z,system,PR0000000041,c7e3e4e0-4eb0-57ed-973a-248aa1d4166f,cb89079f-b137-594d-b7f6-f3803900b013,2026-04-05,2026-05-22,CANCELLED,NORMAL,Safety stock replenishment,125093.50,EUR
3cef8755-5ffc-5939-8264-a2563ccdcd3a,2026-04-10T08:00:00Z,system,2026-04-10T08:00:00Z,system,PR0000000042,b0f0219c-497a-5b5a-8247-64bb9744b592,89693957-df41-5038-b06b-8fcd13674f65,2026-04-10,2026-06-16,CANCELLED,URGENT,Warehouse stock below reorder point,29436.00,EUR
811ce7cb-9a0d-5d15-a2b0-74fe31e76eab,2026-04-17T08:00:00Z,system,2026-04-17T08:00:00Z,system,PR0000000043,43022d67-1e7e-5424-9987-98f2d73d0810,87cb6569-bd40-5e24-8586-da21fbea3a81,2026-04-17,2026-06-06,COMPLETED,HIGH,Production material replenishment,18597.20,EUR
aa8504b7-36e4-5ca9-b88f-637e741bed6f,2025-12-11T08:00:00Z,system,2025-12-11T08:00:00Z,system,PR0000000044,d14b0728-f72c-5fc0-a4ba-8ff48ceaa3cc,efd8a8e4-0bb8-5f9e-be95-16451417acb0,2025-12-11,2026-01-18,REJECTED,LOW,Scheduled maintenance requirement,225638.00,EUR
14654893-7969-5009-90e0-c682d41431d3,2025-10-05T08:00:00Z,system,2025-10-05T08:00:00Z,system,PR0000000045,4deefa0a-1e41-5a72-a113-c2b82a9ea70b,329ee744-d62e-5fc4-a06d-cd6019444aa8,2025-10-05,2025-12-10,CANCELLED,HIGH,Safety stock replenishment,289686.70,EUR
68e2fd8b-80da-54ab-8594-b2f6d0f49130,2026-02-19T08:00:00Z,system,2026-02-19T08:00:00Z,system,PR0000000046,aa73552f-c4e3-50c0-ab42-ae08fe8628fc,5528724a-ec45-5c0d-ac18-8666390c638c,2026-02-19,2026-03-18,CANCELLED,NORMAL,Production material replenishment,31969.19,EUR
24a13833-d96a-5de3-97d3-5d35880aa9db,2025-10-02T08:00:00Z,system,2025-10-02T08:00:00Z,system,PR0000000047,b519a3ff-3161-5685-8e6b-9063483eb30b,3cab26fd-f62f-5970-ad42-c321a067cf36,2025-10-02,2025-11-11,ORDERED,LOW,Scheduled maintenance requirement,3130.00,EUR
5e3df654-8f5a-594c-89be-6a9cf4433ba3,2026-01-08T08:00:00Z,system,2026-01-08T08:00:00Z,system,PR0000000048,40fc93b9-abcc-5006-b3bc-584cd180694b,89693957-df41-5038-b06b-8fcd13674f65,2026-01-08,2026-02-26,ORDERED,URGENT,Production material replenishment,102832.58,EUR
b81befa3-1da7-5fb9-a4bb-f744f37dfcb4,2026-07-27T08:00:00Z,system,2026-07-27T08:00:00Z,system,PR0000000049,a3376a3d-c7f1-544e-97d1-f19074988bc2,5b8df29c-4f7d-5b45-b24c-0b5a197ae2b0,2026-07-27,2026-08-25,COMPLETED,NORMAL,Safety stock replenishment,161842.40,EUR
eb34b1c5-3f5b-5892-a2df-fee1417db8a9,2025-09-17T08:00:00Z,system,2025-09-17T08:00:00Z,system,PR0000000050,7c801ba4-5463-5410-bdfc-fb9770b2a7c7,03aef187-5272-56c7-bfc4-cf8b61ecf06b,2025-09-17,2025-10-31,COMPLETED,NORMAL,Safety stock replenishment,413452.50,EUR
6b11570b-eca6-58fa-b6e8-d68f51546dc0,2026-05-06T08:00:00Z,system,2026-05-06T08:00:00Z,system,PR0000000051,f911dfb3-26ad-5d1f-b884-074c195d7b36,3cab26fd-f62f-5970-ad42-c321a067cf36,2026-05-06,2026-05-18,COMPLETED,NORMAL,Warehouse stock below reorder point,18620.20,EUR
d84360b8-1fc1-503d-9a1d-23c4e13d2144,2025-09-16T08:00:00Z,system,2025-09-16T08:00:00Z,system,PR0000000052,24356e6d-8de5-5316-88e3-702cdfd23228,d425a94e-8ac6-50ba-81e4-27a328a21379,2025-09-16,2025-10-12,COMPLETED,NORMAL,Warehouse stock below reorder point,166295.00,EUR
54580ce7-24ed-5058-8b5a-cb2fa1cfa31f,2025-09-26T08:00:00Z,system,2025-09-26T08:00:00Z,system,PR0000000053,3ff49664-5bf3-5a7a-831a-b66f133487c8,e6d386f5-8b03-578e-aca0-68c8e68a10d1,2025-09-26,2025-10-03,SUBMITTED,HIGH,New project demand,166342.50,EUR
5e4bce20-af2b-5844-b979-b8d08e042897,2026-03-23T08:00:00Z,system,2026-03-23T08:00:00Z,system,PR0000000054,5f639525-25c5-54fa-aa87-ccfe5b39776a,efd8a8e4-0bb8-5f9e-be95-16451417acb0,2026-03-23,2026-05-29,APPROVED,NORMAL,Warehouse stock below reorder point,16332.59,EUR
55851193-75a4-54e7-9d4c-af1823349c6e,2026-03-14T08:00:00Z,system,2026-03-14T08:00:00Z,system,PR0000000055,b519a3ff-3161-5685-8e6b-9063483eb30b,329ee744-d62e-5fc4-a06d-cd6019444aa8,2026-03-14,2026-04-04,SUBMITTED,NORMAL,Production material replenishment,251954.00,EUR
030b7e34-3449-5f2d-8634-82c53ba6af43,2026-05-29T08:00:00Z,system,2026-05-29T08:00:00Z,system,PR0000000056,d925509d-9c4c-55ac-990d-b19752aa437c,e294ac9d-bd77-5078-ba31-f74bebb60488,2026-05-29,2026-06-26,COMPLETED,NORMAL,Replacement of worn equipment,65324.50,EUR
7cb400b2-9f83-549b-af63-b932946003a7,2026-03-13T08:00:00Z,system,2026-03-13T08:00:00Z,system,PR0000000057,4e216c0a-c972-5f8b-9c46-6350e9b7fcd3,26221d5e-2e66-5ea9-8c4d-30720ed59583,2026-03-13,2026-05-27,ORDERED,HIGH,Replacement of worn equipment,7885.63,EUR
2980e735-b72e-588d-8129-3720a5344f78,2026-05-23T08:00:00Z,system,2026-05-23T08:00:00Z,system,PR0000000058,4e5e44a7-230a-5238-af8a-6363cf5be42b,329ee744-d62e-5fc4-a06d-cd6019444aa8,2026-05-23,2026-06-11,SUBMITTED,NORMAL,Replacement of worn equipment,267890.85,EUR
934dfee1-3f05-576a-8ca2-a48dc2dc97ad,2025-10-29T08:00:00Z,system,2025-10-29T08:00:00Z,system,PR0000000059,4b8f339d-64d5-53f8-bcd2-cafb0ea20c4d,34b80a58-c167-5ea6-9b2c-d151aa2ea5a3,2025-10-29,2025-12-18,ORDERED,NORMAL,Safety stock replenishment,66267.86,EUR
32efa72b-2b69-5c8d-b7ec-ed472b52dc94,2025-09-13T08:00:00Z,system,2025-09-13T08:00:00Z,system,PR0000000060,56087fe0-dc48-50ce-a150-f8defa744374,efd8a8e4-0bb8-5f9e-be95-16451417acb0,2025-09-13,2025-10-25,DRAFT,HIGH,Scheduled maintenance requirement,206669.94,EUR
ddf13fd6-dbd7-55d9-b4a3-54f28d7aed74,2026-04-23T08:00:00Z,system,2026-04-23T08:00:00Z,system,PR0000000061,e5f6eca5-efd9-5b50-b3e2-8885e65c411d,329ee744-d62e-5fc4-a06d-cd6019444aa8,2026-04-23,2026-06-19,COMPLETED,HIGH,Warehouse stock below reorder point,29769.50,EUR
40361b9c-1e32-52e6-856e-cc22f148a84d,2025-09-09T08:00:00Z,system,2025-09-09T08:00:00Z,system,PR0000000062,deb3fb29-3383-5c3d-9343-4b0681551f8f,3cab26fd-f62f-5970-ad42-c321a067cf36,2025-09-09,2025-11-14,SUBMITTED,HIGH,Warehouse stock below reorder point,27596.50,EUR
f25c1aab-713d-5344-81a6-067e40b1c8a7,2025-10-14T08:00:00Z,system,2025-10-14T08:00:00Z,system,PR0000000063,362bb051-fb3b-5a89-9979-8640133ad18b,9f6bd345-59f3-56b7-b1b4-8a3e5fab6656,2025-10-14,2025-11-11,SUBMITTED,NORMAL,New project demand,322344.00,EUR
1a89eeaa-7d79-5349-8e40-e33cb5b044af,2026-04-14T08:00:00Z,system,2026-04-14T08:00:00Z,system,PR0000000064,f2241022-edb7-5025-96ee-391d1dcaca23,9f6bd345-59f3-56b7-b1b4-8a3e5fab6656,2026-04-14,2026-05-01,ORDERED,HIGH,New project demand,32734.05,EUR
94662b40-5acd-518a-a225-800cd3779a5e,2026-03-14T08:00:00Z,system,2026-03-14T08:00:00Z,system,PR0000000065,bfc09207-4542-5693-a52b-974f1bcfaf39,12473360-94f1-5fba-a391-36ce9d7f31be,2026-03-14,2026-04-19,ORDERED,NORMAL,New project demand,145901.02,EUR
46aaeab1-41cb-53bb-8a20-70364c0e4ad1,2026-06-20T08:00:00Z,system,2026-06-20T08:00:00Z,system,PR0000000066,d14b0728-f72c-5fc0-a4ba-8ff48ceaa3cc,e6d386f5-8b03-578e-aca0-68c8e68a10d1,2026-06-20,2026-07-01,COMPLETED,HIGH,Replacement of worn equipment,186134.84,EUR
1b226193-7dda-56e2-9479-cd8f4edf59f8,2026-06-21T08:00:00Z,system,2026-06-21T08:00:00Z,system,PR0000000067,362bb051-fb3b-5a89-9979-8640133ad18b,03aef187-5272-56c7-bfc4-cf8b61ecf06b,2026-06-21,2026-07-13,ORDERED,HIGH,Warehouse stock below reorder point,143979.75,EUR
96ce0844-6511-5299-a4d3-06bfea90128e,2025-10-22T08:00:00Z,system,2025-10-22T08:00:00Z,system,PR0000000068,344e75d1-f4ee-5da0-b8c0-d2949c9f7794,d425a94e-8ac6-50ba-81e4-27a328a21379,2025-10-22,2025-12-19,COMPLETED,NORMAL,Safety stock replenishment,17.00,EUR
51cd60bf-21fa-5e12-b8cc-b6c3cb2eff9b,2025-12-03T08:00:00Z,system,2025-12-03T08:00:00Z,system,PR0000000069,cbe963d2-a4e6-5ec1-a15f-948ff5630895,51ca2c43-9865-5eed-88e1-7efd0be651e9,2025-12-03,2026-02-12,ORDERED,HIGH,Replacement of worn equipment,38743.75,EUR
7039eea8-a1c6-5a36-ae44-331eb8899155,2026-06-06T08:00:00Z,system,2026-06-06T08:00:00Z,system,PR0000000070,344e75d1-f4ee-5da0-b8c0-d2949c9f7794,681d3a1f-6166-5793-8dd0-2f9ae8a7e909,2026-06-06,2026-07-08,COMPLETED,NORMAL,Scheduled maintenance requirement,303580.50,EUR
33e94ea9-33f4-5db7-a33b-7113255c0861,2026-07-03T08:00:00Z,system,2026-07-03T08:00:00Z,system,PR0000000071,f5b4b717-e857-50a0-b0af-aa491c52f9b9,0450cf2b-52b5-5c7a-95b0-bbdc67bca724,2026-07-03,2026-07-14,CANCELLED,HIGH,Replacement of worn equipment,266162.50,EUR
a60ec34f-9523-570f-839f-03ea48372156,2025-10-20T08:00:00Z,system,2025-10-20T08:00:00Z,system,PR0000000072,749e799d-dc59-5571-b15c-7d9bf9c77752,3cab26fd-f62f-5970-ad42-c321a067cf36,2025-10-20,2025-12-30,COMPLETED,NORMAL,Scheduled maintenance requirement,527540.35,EUR
d2b089de-9e6a-5469-8556-840878a8688d,2026-07-27T08:00:00Z,system,2026-07-27T08:00:00Z,system,PR0000000073,78f316cf-bc76-5bab-9068-b36833d8b019,cb89079f-b137-594d-b7f6-f3803900b013,2026-07-27,2026-08-09,COMPLETED,HIGH,Production material replenishment,13121.50,EUR
abb3787a-f8b6-5b08-9931-7eb93b4b0e69,2026-01-16T08:00:00Z,system,2026-01-16T08:00:00Z,system,PR0000000074,40fc93b9-abcc-5006-b3bc-584cd180694b,113d871c-fdd0-59b0-922b-71a1f17a7a5b,2026-01-16,2026-03-15,APPROVED,URGENT,Warehouse stock below reorder point,309441.25,EUR
86d49e9e-4861-528f-b0ed-e1d536c0103f,2025-11-12T08:00:00Z,system,2025-11-12T08:00:00Z,system,PR0000000075,13784956-f498-5534-9b07-21147167cebb,d425a94e-8ac6-50ba-81e4-27a328a21379,2025-11-12,2025-12-16,ORDERED,LOW,Scheduled maintenance requirement,274736.34,EUR
ee775e6b-dac9-5d83-b2fa-e784495f9e8b,2025-11-17T08:00:00Z,system,2025-11-17T08:00:00Z,system,PR0000000076,e5f6eca5-efd9-5b50-b3e2-8885e65c411d,e294ac9d-bd77-5078-ba31-f74bebb60488,2025-11-17,2026-01-02,ORDERED,NORMAL,Safety stock replenishment,1980.97,EUR
4e3ea3c6-b86c-590f-ac89-e5df133ccae2,2025-10-22T08:00:00Z,system,2025-10-22T08:00:00Z,system,PR0000000077,a3376a3d-c7f1-544e-97d1-f19074988bc2,5528724a-ec45-5c0d-ac18-8666390c638c,2025-10-22,2025-12-23,ORDERED,NORMAL,Safety stock replenishment,1290.00,EUR
912559fb-a61c-572d-8512-9703afb83540,2026-02-07T08:00:00Z,system,2026-02-07T08:00:00Z,system,PR0000000078,0737d81c-800f-585f-8a81-5742f5aa93a6,e294ac9d-bd77-5078-ba31-f74bebb60488,2026-02-07,2026-03-22,APPROVED,HIGH,Scheduled maintenance requirement,109454.60,EUR
eba6efc7-5287-5e24-bbc4-9173ee1c8768,2026-04-06T08:00:00Z,system,2026-04-06T08:00:00Z,system,PR0000000079,605855ea-5571-58a5-9ec3-f66b7ecc340e,e6d386f5-8b03-578e-aca0-68c8e68a10d1,2026-04-06,2026-06-17,COMPLETED,HIGH,Production material replenishment,1854.49,EUR
1ffb5b59-7a4c-5278-9f48-7fe526a8b7f7,2025-09-18T08:00:00Z,system,2025-09-18T08:00:00Z,system,PR0000000080,c6e566c4-5c48-598a-9eaf-6624035417aa,261d0783-3954-5ee6-baf2-f9e37bbb725b,2025-09-18,2025-11-03,APPROVED,NORMAL,Scheduled maintenance requirement,332265.76,EUR
06c7a154-8a72-5846-a2fb-693085a73736,2026-01-26T08:00:00Z,system,2026-01-26T08:00:00Z,system,PR0000000081,5f639525-25c5-54fa-aa87-ccfe5b39776a,51ca2c43-9865-5eed-88e1-7efd0be651e9,2026-01-26,2026-02-06,APPROVED,LOW,Safety stock replenishment,87329.40,EUR
059daea8-a42c-5f37-8167-29d82fbb44d2,2026-06-06T08:00:00Z,system,2026-06-06T08:00:00Z,system,PR0000000082,f2241022-edb7-5025-96ee-391d1dcaca23,d425a94e-8ac6-50ba-81e4-27a328a21379,2026-06-06,2026-07-09,ORDERED,NORMAL,Production material replenishment,31022.95,EUR
